epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.972043,3.18491,6.76245,2.24976,0,0,0,0,3.45138,6.84063,2.55871,0,0,0
2,2.46111,2.6298,6.53917,1.71905,0,0,0,0,3.37803,6.72233,2.52083,7.06931e-06,7.06931e-06,7.06931e-06
3,3.83605,3.17435,7.21338,2.41676,0,0,0,0,3.41003,6.49439,2.54701,1.39973e-05,1.39973e-05,1.39973e-05
4,5.62466,2.75198,7.13373,2.22542,0,0,0,0,3.36797,6.33077,2.53186,2.07838e-05,2.07838e-05,2.07838e-05
5,8.33542,2.81217,8.35351,2.10303,0,0,0,0,3.26791,6.16349,2.46894,2.7429e-05,2.7429e-05,2.7429e-05
6,11.2167,2.93926,4.87116,2.10666,0,0,0,0,3.15532,6.00001,2.45916,3.39329e-05,3.39329e-05,3.39329e-05
7,14.1349,1.73902,7.64817,1.5156,0,0,0,0,2.8726,5.80018,2.30274,4.02953e-05,4.02953e-05,4.02953e-05
8,17.0441,2.64191,4.69702,1.875,0,0,0,0,2.63285,5.63577,2.19923,4.65164e-05,4.65164e-05,4.65164e-05
9,19.8526,2.40527,4.07192,1.8721,0,0,0,0,2.40413,5.58034,2.06159,5.25961e-05,5.25961e-05,5.25961e-05
10,22.9234,2.5539,4.10588,1.93725,0.1095,0.3,0.11901,0.10477,2.42946,5.79621,2.09448,5.85344e-05,5.85344e-05,5.85344e-05
11,25.9393,2.8093,3.4037,1.80135,0.21057,0.19932,0.15085,0.13465,2.12635,6.24944,1.9456,6.43314e-05,6.43314e-05,6.43314e-05
12,29.4669,2.00027,3.27074,1.9742,0.20388,0.2,0.20011,0.17954,1.94607,6.84981,1.85428,6.9987e-05,6.9987e-05,6.9987e-05
13,32.43,1.78187,2.75775,1.38215,0.44194,0.2,0.20038,0.16954,1.75718,7.54619,1.75438,7.55012e-05,7.55012e-05,7.55012e-05
14,35.4978,1.70024,3.46933,1.73118,0.45457,0.2,0.20895,0.18037,1.74227,7.58498,1.74123,8.08741e-05,8.08741e-05,8.08741e-05
15,39.1636,2.09731,3.07756,1.86699,0.34041,0.2,0.20243,0.16969,1.7569,8.13623,1.77152,8.61055e-05,8.61055e-05,8.61055e-05
16,42.2346,1.48332,2.59307,1.55427,0.32764,0.2,0.20084,0.17009,1.65518,7.81272,1.71227,9.11957e-05,9.11957e-05,9.11957e-05
